"germination_position_ID","species","functional_group","date_sowing","date_measurement","collector","seed_origin","variable","value"
"CHE.lo.exp1.ambi.bare.01.023","brapin","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",2
"CHE.lo.exp1.ambi.bare.01.024","broere","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",2
"CHE.lo.exp1.ambi.bare.01.024","broere","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.bare.01.024","broere","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.bare.01.025","scacol","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.bare.01.025","scacol","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.bare.01.025","scacol","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.bare.01.026","brapin","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.bare.01.026","brapin","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.bare.01.026","brapin","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.bare.01.027","daucar","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.bare.01.027","daucar","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.bare.01.027","daucar","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.bare.01.028","broere","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.bare.01.028","broere","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.bare.01.028","broere","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.bare.01.029","broere","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",4
"CHE.lo.exp1.ambi.bare.01.029","broere","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",4
"CHE.lo.exp1.ambi.bare.01.029","broere","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",3
"CHE.lo.exp1.ambi.bare.01.030","hypper","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.bare.01.030","hypper","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.bare.01.030","hypper","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.001","cenjac","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.001","cenjac","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.001","cenjac","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.002","plamed","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.002","plamed","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.002","plamed","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.003","salpra","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.01.003","salpra","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.003","salpra","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",1
"CHE.lo.exp1.ambi.vege.01.004","medlup","legume",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.004","medlup","legume",2021-09-09,2022-05-05,"EI","commercial","spring_count",2
"CHE.lo.exp1.ambi.vege.01.004","medlup","legume",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.005","salpra","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.005","salpra","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.005","salpra","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.006","medlup","legume",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.006","medlup","legume",2021-09-09,2022-05-05,"EI","commercial","spring_count",2
"CHE.lo.exp1.ambi.vege.01.006","medlup","legume",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.007","silvul","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.007","silvul","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.007","silvul","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.008","scacol","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.008","scacol","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.008","scacol","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.009","scacol","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.009","scacol","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.009","scacol","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.010","cenjac","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.010","cenjac","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",1
"CHE.lo.exp1.ambi.vege.01.010","cenjac","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.011","salpra","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.011","salpra","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.011","salpra","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.012","silvul","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.012","silvul","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.012","silvul","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.013","hypper","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.013","hypper","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.013","hypper","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.014","plamed","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.01.014","plamed","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.014","plamed","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.015","brapin","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.015","brapin","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.015","brapin","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.016","silvul","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.016","silvul","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.016","silvul","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.017","daucar","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",2
"CHE.lo.exp1.ambi.vege.01.017","daucar","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",1
"CHE.lo.exp1.ambi.vege.01.017","daucar","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.018","daucar","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",3
"CHE.lo.exp1.ambi.vege.01.018","daucar","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.018","daucar","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.019","cenjac","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.01.019","cenjac","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",2
"CHE.lo.exp1.ambi.vege.01.019","cenjac","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.020","hypper","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.020","hypper","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.020","hypper","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.021","plamed","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.021","plamed","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.021","plamed","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.022","medlup","legume",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.022","medlup","legume",2021-09-09,2022-05-05,"EI","commercial","spring_count",4
"CHE.lo.exp1.ambi.vege.01.022","medlup","legume",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.023","brapin","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.01.023","brapin","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.023","brapin","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.024","broere","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.024","broere","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.024","broere","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.025","scacol","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.025","scacol","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.025","scacol","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.026","brapin","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.026","brapin","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.026","brapin","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.027","daucar","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.01.027","daucar","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",3
"CHE.lo.exp1.ambi.vege.01.027","daucar","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.028","broere","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.028","broere","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.028","broere","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.029","broere","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.01.029","broere","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.029","broere","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.01.030","hypper","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.01.030","hypper","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.01.030","hypper","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.001","cenjac","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.001","cenjac","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",1
"CHE.lo.exp1.ambi.vege.02.001","cenjac","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.002","plamed","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.002","plamed","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",1
"CHE.lo.exp1.ambi.vege.02.002","plamed","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.003","salpra","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.02.003","salpra","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.003","salpra","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.004","medlup","legume",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.004","medlup","legume",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.004","medlup","legume",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.005","salpra","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.005","salpra","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.005","salpra","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.006","medlup","legume",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.006","medlup","legume",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.006","medlup","legume",2021-09-09,2022-09-27,"EI","commercial","peak_count",1
"CHE.lo.exp1.ambi.vege.02.007","silvul","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.007","silvul","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.007","silvul","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.008","scacol","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.008","scacol","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.008","scacol","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.009","scacol","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.009","scacol","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.009","scacol","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.010","cenjac","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.010","cenjac","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.010","cenjac","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.011","salpra","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.011","salpra","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",1
"CHE.lo.exp1.ambi.vege.02.011","salpra","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.012","silvul","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.02.012","silvul","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.012","silvul","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.013","hypper","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.013","hypper","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.013","hypper","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.014","plamed","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.02.014","plamed","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.014","plamed","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.015","brapin","graminoid",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.015","brapin","graminoid",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.015","brapin","graminoid",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.016","silvul","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.016","silvul","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
"CHE.lo.exp1.ambi.vege.02.016","silvul","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.017","daucar","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",1
"CHE.lo.exp1.ambi.vege.02.017","daucar","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",2
"CHE.lo.exp1.ambi.vege.02.017","daucar","forb",2021-09-09,2022-09-27,"EI","commercial","peak_count",0
"CHE.lo.exp1.ambi.vege.02.018","daucar","forb",2021-09-09,2021-10-26,"CB","commercial","autumn_count",0
"CHE.lo.exp1.ambi.vege.02.018","daucar","forb",2021-09-09,2022-05-05,"EI","commercial","spring_count",0
