"plot_id","releve_id","obs_id","year","month","day","x","y","geometry","xy_precision","altitude_min","altitude_max","aspect","slope","surface","taxon_id","taxon_global","author_global","taxon_no_global","taxon_level","taxon_CH","author_CH","taxon_no_isfs","family","determinavit_cf","specimen_type","species_cover","phenology","total_cover","trees_cover","shrubs_cover","herbaceous_cover","moss_cover","crypto_cover","lichens_cover","algae_cover","litter_cover","soil_cover","rocks_cover","water_cover","open_close","releve_stratum","soil_depth_1","soil_depth_2","soil_depth_3","soil_depth_4","soil_depth_5","soil_depth_6","soil_depth_7","soil_depth_8","soil_depth_9","soil_depth_10","observer_initials","locality_descript","comments"
"0.OID",2979453,15064601,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1001410,"Alchemilla conjuncta","Bab.","989884","superaggr.","Alchemilla conjuncta superaggr.",NA,12100,"Rosaceae","-",NA,3,"DSE",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064596,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1034280,"Plantago atrata","Hoppe","481453","species","Plantago atrata","Hoppe",307250,"Plantaginaceae","-",NA,3,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064612,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1047600,"Trifolium pratense","L.","208376","species","Trifolium pratense","L.",426895,"Fabaceae","-",NA,2,"D",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064611,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1047410,"Trifolium badium","Schreb.","209230","species","Trifolium badium","Schreb.",424900,"Fabaceae","-",NA,2,"S",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064600,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1037370,"Ranunculus acris","L.","455397","species","Ranunculus acris","L.",336595,"Ranunculaceae","-",NA,1,"SE",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064591,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1040190,"Rumex alpestris","Jacq.","397872","species","Rumex alpestris","Jacq.",359300,"Polygonaceae","-",NA,1,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064615,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1034470,"Poa alpina","L.","883128","species","Poa alpina","L.",309000,"Poaceae","-",NA,0.5,"SE",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064610,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1001080,"Agrostis capillaris","L.","833484","species","Agrostis capillaris","L.",8600,"Poaceae","-",NA,0.5,"F",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064602,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1044540,"Soldanella alpina","L.","497106","species","Soldanella alpina","L.",400600,"Primulaceae","-",NA,0.5,"S",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064599,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1026330,"Leontodon hispidus","L.","18560","species","Leontodon hispidus","L.",233000,"Asteraceae","-",NA,0.5,"FE",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064598,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1013630,"Crepis aurea","(L.) Cass.","23499","species","Crepis aurea","(L.) Cass.",123000,"Asteraceae","-",NA,0.5,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064597,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1011390,"Cerastium fontanum","Baumg.","588629","species","Cerastium fontanum","Baumg.",103595,"Caryophyllaceae","-",NA,0.5,"E",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064595,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1026810,"Mutellina purpurea","(Poir.) Reduron, Charpin & Pimenov","366605","species","Ligusticum mutellina","(L.) Crantz",237800,"Apiaceae","-",NA,0.5,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064593,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1040419,"Sagina","L.","1415286","genus","Sagina",NA,NA,"Caryophyllaceae","CF",NA,0.5,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064616,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1020390,"Galium anisophyllon","Vill.","959662","species","Galium anisophyllon","Vill.",177500,"Rubiaceae","-",NA,0.1,"DS",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064605,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1011270,"Cerastium arvense","L.","588238","species","Cerastium arvense","L.",102595,"Caryophyllaceae","-",NA,0.1,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064594,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1032600,"Parnassia palustris","L.","473804","species","Parnassia palustris","L.",292700,"Celastraceae","-",NA,0.1,"F",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064590,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1016509,"Epilobium","Dill. ex L.","1836244","genus","Epilobium",NA,NA,"Onagraceae","-",NA,0.1,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064589,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1001130,"Agrostis stolonifera","L.","836226","species","Agrostis stolonifera","L.",9300,"Poaceae","-",NA,0.1,"SE",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064588,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1008650,"Campanula scheuchzeri","Vill.","820596","species","Campanula scheuchzeri","Vill.",77200,"Campanulaceae","-",NA,0.1,"D",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064587,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1009320,"Carex atrata","L.","339574","aggr.","Carex atrata aggr.",NA,83405,"Cyperaceae","-",NA,0.1,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064586,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1027510,"Lotus corniculatus","L.","207542","aggr.","Lotus corniculatus aggr.",NA,244410,"Fabaceae","-",NA,0.1,"D",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064585,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1020970,"Gentiana bavarica","L.","689469","species","Gentiana bavarica","L.",182900,"Gentianaceae","-",NA,0.1,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064584,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1018600,"Euphrasia picta","Wimm.","1122344","species","Euphrasia minima","Schleich.",162750,"Orobanchaceae","-",NA,NA,"B",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"1.CID",2976369,14823638,2023,7,12,9.514216003,46.87026157,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1046270,"Teucrium chamaedrys","L.","316917","species","Teucrium chamaedrys","L.",415000,"Lamiaceae","-",NA,20,"FD",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823630,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1007070,"Brachypodium pinnatum","(L.) P.Beauv.","846244","aggr.","Brachypodium pinnatum aggr.",NA,64000,"Poaceae","-",NA,20,"S",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823627,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1007290,"Bromus erectus","Huds.","847221","species","Bromus erectus","Huds.",65695,"Poaceae","-",NA,13,"S",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823603,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1036460,"Prunella grandiflora","(L.) Scholler",NA,"species","Prunella grandiflora","(L.) Scholler",327900,"Lamiaceae","-",NA,12,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823635,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1036090,"Potentilla verna","L.","1000309","species","Potentilla verna","L.",325100,"Rosaceae","-",NA,9,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823586,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1009900,"Carex humilis","Leyss.","342477","species","Carex humilis","Leyss.",88800,"Cyperaceae","-",NA,3,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823598,2023,7,12,9.514216003,46.87026157,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1019310,"Festuca ovina","L.","862942","superaggr.","Festuca ovina superaggr.",NA,168590,"Poaceae","-","herbar specimen",2,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823574,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1025480,"Koeleria pyramidata","(Lam.) P.Beauv.","869000","species","Koeleria pyramidata","(Lam.) P.",223900,"Poaceae","-",NA,2,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823611,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1041200,"Salvia pratensis","L.","296972","species","Salvia pratensis","L.",367600,"Lamiaceae","-",NA,1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823606,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1022180,"Helianthemum nummularium","(L.) Mill.","1577356","species","Helianthemum nummularium","(L.) Mill.",194895,"Cistaceae","-",NA,1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823570,2023,7,12,9.514216003,46.87026157,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1043610,"Seseli annuum","L.","428854","species","Seseli annuum","L.",391250,"Apiaceae","-","herbar specimen",0.5,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823621,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1036700,"Veronica spicata","L.","419507","species","Pseudolysimachion spicatum","(L.) Opiz",330360,"Plantaginaceae","-",NA,0.5,"B",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823617,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1027510,"Lotus corniculatus","L.","207542","aggr.","Lotus corniculatus aggr.",NA,244410,"Fabaceae","-",NA,0.5,"BF",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823588,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1046300,"Teucrium montanum","L.","317279","species","Teucrium montanum","L.",415100,"Lamiaceae","-",NA,0.5,"BFD",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823580,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1046830,"Thymus praecox","Opiz","319494","species","Thymus praecox","Opiz",420750,"Lamiaceae","-",NA,0.5,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823577,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1034390,"Plantago media","L.","480384","species","Plantago media","L.",308100,"Plantaginaceae","-",NA,0.5,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823633,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1047540,"Trifolium montanum","L.","208355","species","Trifolium montanum","L.",426300,"Fabaceae","-",NA,0.1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823624,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1020730,"Galium verum","L.","961932","species","Galium verum","L.",180900,"Rubiaceae","-",NA,0.1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823614,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1010865,"Centaurea jacea","L.","94542","aggr.","Centaurea jacea aggr.",NA,99030,"Asteraceae","-",NA,0.1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823608,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1033950,"Pimpinella saxifraga","L.","385605","aggr.","Pimpinella saxifraga aggr.",NA,304100,"Apiaceae","-",NA,0.1,"BF",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823601,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1041340,"Sanguisorba minor","Scop.","1006035","species","Sanguisorba minor","Scop.",368650,"Rosaceae","-",NA,0.1,"S",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823595,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1005315,"Cynanchica pyrenaica subsp. cynanchica","(L.) P.Caputo & Del Guacchio","1456370","aggr.","Asperula cynanchica aggr.",NA,49410,"Rubiaceae","-",NA,0.1,"BF",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823591,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1042090,"Scabiosa columbaria","L.","493975","species","Scabiosa columbaria","L.",376500,"Caprifoliaceae","-",NA,0.1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823583,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1028510,"Medicago falcata","L.","208732","species","Medicago falcata","L.",255100,"Fabaceae","-",NA,0.1,"B",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823572,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1028530,"Medicago lupulina","L.","208757","species","Medicago lupulina","L.",255300,"Fabaceae","-",NA,0.1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823567,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1004800,"Arenaria serpyllifolia","L.","540066","aggr.","Arenaria serpyllifolia aggr.",NA,44305,"Caryophyllaceae","-",NA,0.1,"DSE",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
"1.CID",2976369,14823565,2023,7,12,9.51421595,46.87026155,"POINT(9.51421600290041 46.870261570996895)",6,688.8,695.7,147,17,4,1009510,"Carex caryophyllea","Latourr.","340254","species","Carex caryophyllea","Latourr.",84900,"Cyperaceae","-",NA,0.1,"V",70,0,0,70,0,0,0,0,22,8,0,0,"open","herbaceous","9","6","10","6","7","6","4","8","7","8","LDR, ND","Dry steep grazed pasture","orientation 173°"
