"unique_plant_ID","species","functional_group","date_measurement","date_planting","collector","survival","height_vegetative_str","height_reproductive_str","height_vegetative","height_reproductive","vegetative_width","height_nathan","stem_diameter","leaf_length1","leaf_length2","leaf_length3","leaf_width","petiole_length","number_leaves","number_tillers","number_branches","number_leafclusters","number_flowers","mean_inflorescence_size","herbivory"
"CHE.lo.ambi.bare.wf.09.11.1","silvul","forb",2021-08-16,2021-06-16,"PS","1",79,NA,NA,NA,NA,NA,NA,36,37,40,NA,NA,108,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.12.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",202,NA,NA,NA,NA,NA,NA,177,170,185,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.13.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",196,NA,NA,NA,NA,NA,NA,184,181,185,NA,NA,18,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.14.1","cenjac","forb",2021-08-16,2021-06-16,"PS","1",205,188,NA,NA,NA,NA,NA,190,185,182,NA,NA,21,NA,NA,NA,1,NA,"0"
"CHE.lo.ambi.bare.wf.09.15.2","hypper","forb",2021-08-16,2021-06-22,"PS","1",189,NA,NA,NA,NA,NA,NA,25,23,25,NA,NA,290,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.16.2","brapin","graminoid",NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.09.17.1","plamed","forb",2021-08-16,2021-06-16,"PS","1",70,238,NA,NA,NA,NA,NA,66,65,54,NA,NA,17,NA,NA,NA,4,20,"0"
"CHE.lo.ambi.bare.wf.09.18.3","hypper","forb",2021-08-16,2021-06-24,"PS","1",166,NA,NA,NA,NA,NA,NA,21,20,20,NA,NA,142,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.19.2","salpra","forb",2021-08-16,2021-06-22,"PS","1",146,NA,NA,NA,NA,NA,NA,131,122,97,NA,NA,23,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.20.1","silvul","forb",2021-08-16,2021-06-16,"PS","1",144,161,NA,NA,NA,NA,NA,33,35,41,NA,NA,244,NA,NA,NA,12,NA,"0"
"CHE.lo.ambi.bare.wf.09.21.1","medlup","legume",2021-08-16,2021-06-16,"PS","1",173,175,NA,NA,NA,NA,NA,17,19,17,NA,NA,131,NA,NA,NA,30,NA,"0"
"CHE.lo.ambi.bare.wf.09.22.3","silvul","forb",2021-08-16,2021-06-24,"PS","1",111,84,NA,NA,NA,NA,NA,34,32,36,NA,NA,172,NA,NA,NA,3,NA,"0"
"CHE.lo.ambi.bare.wf.09.23.3","scacol","forb",2021-08-16,2021-06-24,"PS","1",96,NA,NA,NA,NA,NA,NA,90,94,75,NA,NA,26,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.24.2","scacol","forb",2021-08-16,2021-06-22,"PS","1",56,451,NA,NA,NA,NA,NA,44,39,51,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.25.1","cenjac","forb",2021-08-16,2021-06-16,"PS","1",470,451,NA,NA,NA,NA,NA,143,150,149,NA,NA,84,NA,NA,NA,4,NA,"0"
"CHE.lo.ambi.bare.wf.09.26.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",64,NA,NA,NA,NA,NA,NA,52,56,46,NA,NA,10,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.27.1","medlup","legume",2021-08-16,2021-06-16,"PS","1",73,74,NA,NA,NA,NA,NA,10,11,12,NA,NA,47,NA,NA,NA,11,NA,"0"
"CHE.lo.ambi.bare.wf.09.28.2","salpra","forb",2021-08-16,2021-06-22,"PS","1",119,NA,NA,NA,NA,NA,NA,112,99,117,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.29.2","plamed","forb",2021-08-16,2021-06-22,"PS","1",71,286,NA,NA,NA,NA,NA,76,56,64,NA,NA,15,NA,NA,NA,2,28,"0"
"CHE.lo.ambi.bare.wf.09.30.1","cenjac","forb",2021-08-16,2021-06-16,"PS","1",148,NA,NA,NA,NA,NA,NA,132,128,125,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.01.1","brapin","graminoid",2021-08-16,2021-06-16,"PS","1",191,NA,NA,NA,NA,NA,NA,121,96,83,NA,NA,9,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.02.02.2","daucar","forb",2021-08-16,2021-06-21,"PS","1",153,NA,NA,NA,NA,NA,NA,172,127,130,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.03.3","broere","graminoid",NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.02.04.2","broere","graminoid",2021-08-16,2021-06-21,"PS","1",95,NA,NA,NA,NA,NA,NA,75,40,NA,NA,NA,21,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.02.05.2","hypper","forb",2021-08-16,2021-06-21,"PS","1",182,NA,NA,NA,NA,NA,NA,25,21,25,NA,NA,204,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.06.2","scacol","forb",2021-08-16,2021-06-21,"PS","1",67,NA,NA,NA,NA,NA,NA,59,36,57,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.07.3","broere","graminoid",2021-08-16,2021-07-05,"PS","1",120,NA,NA,NA,NA,NA,NA,104,51,76,NA,NA,22,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.02.08.2","brapin","graminoid",2021-08-16,2021-06-21,"PS","1",34,NA,NA,NA,NA,NA,NA,24,20,22,NA,NA,18,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.09.2","medlup","legume",2021-08-16,2021-06-21,"PS","1",55,60,NA,NA,NA,NA,NA,13,12,14,NA,NA,75,NA,NA,NA,12,NA,"0"
"CHE.lo.ambi.bare.wf.02.10.2","plamed","forb",2021-08-16,2021-06-21,"PS","1",74,241,NA,NA,NA,NA,NA,80,70,73,NA,NA,14,NA,NA,NA,2,27,"0"
"CHE.lo.ambi.bare.wf.02.11.2","silvul","forb",2021-08-16,2021-06-21,"PS","1",186,575,NA,NA,NA,NA,NA,44,43,47,NA,NA,656,NA,NA,NA,177,NA,"0"
"CHE.lo.ambi.bare.wf.02.12.2","daucar","forb",2021-08-16,2021-06-21,"PS","1",186,NA,NA,NA,NA,NA,NA,179,160,174,NA,NA,14,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.13.2","daucar","forb",2021-08-16,2021-06-21,"PS","1",180,NA,NA,NA,NA,NA,NA,167,168,175,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.14.2","cenjac","forb",2021-08-16,2021-06-21,"PS","1",162,112,NA,NA,NA,NA,NA,157,134,161,NA,NA,26,NA,NA,NA,1,NA,"0"
"CHE.lo.ambi.bare.wf.02.15.2","hypper","forb",2021-08-16,2021-06-21,"PS","1",172,NA,NA,NA,NA,NA,NA,22,23,22,NA,NA,160,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.16.2","brapin","graminoid",2021-08-16,2021-06-21,"PS","1",126,NA,NA,NA,NA,NA,NA,86,70,55,NA,NA,30,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.17.2","plamed","forb",2021-08-16,2021-06-21,"PS","1",62,251,NA,NA,NA,NA,NA,65,60,61,NA,NA,12,NA,NA,NA,1,26,"0"
"CHE.lo.ambi.bare.wf.02.18.2","hypper","forb",2021-08-16,2021-06-21,"PS","1",112,NA,NA,NA,NA,NA,NA,16,18,16,NA,NA,101,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.19.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",90,NA,NA,NA,NA,NA,NA,90,84,81,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.20.2","silvul","forb",2021-08-16,2021-06-21,"PS","1",166,160,NA,NA,NA,NA,NA,34,31,28,NA,NA,78,NA,NA,NA,5,NA,"0"
"CHE.lo.ambi.bare.wf.02.21.2","medlup","legume",2021-08-16,2021-06-21,"PS","1",190,196,NA,NA,NA,NA,NA,15,16,13,NA,NA,145,NA,NA,NA,44,NA,"0"
"CHE.lo.ambi.bare.wf.02.22.2","silvul","forb",2021-08-16,2021-06-21,"PS","1",140,364,NA,NA,NA,NA,NA,58,57,58,NA,NA,376,NA,NA,NA,134,NA,"0"
"CHE.lo.ambi.bare.wf.02.23.2","scacol","forb",2021-08-16,2021-06-21,"PS","1",86,NA,NA,NA,NA,NA,NA,74,76,70,NA,NA,25,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.24.2","scacol","forb",2021-08-16,2021-06-21,"PS","1",64,NA,NA,NA,NA,NA,NA,55,52,56,NA,NA,27,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.25.2","cenjac","forb",2021-08-16,2021-06-21,"PS","1",266,232,NA,NA,NA,NA,NA,145,131,131,NA,NA,31,NA,NA,NA,1,NA,"0"
"CHE.lo.ambi.bare.wf.02.26.2","salpra","forb",2021-08-16,2021-06-21,"PS","1",111,NA,NA,NA,NA,NA,NA,109,90,102,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.27.2","medlup","legume",2021-08-16,2021-06-21,"PS","1",83,88,NA,NA,NA,NA,NA,21,16,18,NA,NA,97,NA,NA,NA,9,NA,"0"
"CHE.lo.ambi.bare.wf.02.28.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",72,NA,NA,NA,NA,NA,NA,64,66,62,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.29.2","plamed","forb",2021-08-16,2021-06-21,"PS","1",59,NA,NA,NA,NA,NA,NA,55,52,53,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.02.30.2","cenjac","forb",2021-08-16,2021-06-21,"PS","1",136,120,NA,NA,NA,NA,NA,116,108,99,NA,NA,22,NA,NA,NA,1,NA,"0"
"CHE.lo.ambi.bare.wf.03.01.2","brapin","graminoid",2021-08-16,2021-06-21,"PS","1",160,NA,NA,NA,NA,NA,NA,155,123,62,NA,NA,3,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.02.2","daucar","forb",2021-08-16,2021-06-21,"PS","1",180,NA,NA,NA,NA,NA,NA,174,174,165,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.03.2","broere","graminoid",2021-08-16,2021-06-21,"PS","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.03.04.3","broere","graminoid",NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.03.05.2","hypper","forb",2021-08-16,2021-06-21,"PS","1",194,NA,NA,NA,NA,NA,NA,21,25,24,NA,NA,242,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.06.2","scacol","forb",2021-08-16,2021-06-21,"PS","1",62,NA,NA,NA,NA,NA,NA,54,47,50,NA,NA,13,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.07.2","broere","graminoid",2021-08-16,2021-06-21,"PS","1",210,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.08.1","brapin","graminoid",2021-08-16,2021-06-16,"PS","1",145,NA,NA,NA,NA,NA,NA,120,102,43,NA,NA,3,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.09.1","medlup","legume",2021-08-16,2021-06-16,"PS","1",134,66,NA,NA,NA,NA,NA,26,14,17,NA,NA,59,NA,NA,NA,2,NA,"0"
"CHE.lo.ambi.bare.wf.03.10.2","plamed","forb",2021-08-16,2021-06-21,"PS","1",44,221,NA,NA,NA,NA,NA,47,36,49,NA,NA,12,NA,NA,NA,2,20,"0"
"CHE.lo.ambi.bare.wf.03.11.1","silvul","forb",2021-08-16,2021-06-16,"PS","1",213,471,NA,NA,NA,NA,NA,32,40,31,NA,NA,736,NA,NA,NA,284,NA,"0"
"CHE.lo.ambi.bare.wf.03.12.2","daucar","forb",2021-08-16,2021-06-24,"PS","1",181,NA,NA,NA,NA,NA,NA,155,170,152,NA,NA,19,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.13.1","daucar","forb",2021-08-16,2021-06-16,"PS","1",177,NA,NA,NA,NA,NA,NA,167,157,152,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.14.1","cenjac","forb",2021-08-16,2021-06-16,"PS","1",142,NA,NA,NA,NA,NA,NA,136,141,145,NA,NA,17,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.15.2","hypper","forb",2021-08-16,2021-06-21,"PS","1",129,NA,NA,NA,NA,NA,NA,20,18,17,NA,NA,162,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.16.1","brapin","graminoid",2021-08-16,2021-06-16,"PS","1",158,NA,NA,NA,NA,NA,NA,96,82,149,NA,NA,34,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.17.1","plamed","forb",2021-08-16,2021-06-16,"PS","1",57,NA,NA,NA,NA,NA,NA,58,49,44,NA,NA,12,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.03.18.2","hypper","forb",2021-08-16,2021-07-05,"PS","1",121,NA,NA,NA,NA,NA,NA,17,14,16,NA,NA,102,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.19.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",80,NA,NA,NA,NA,NA,NA,72,76,70,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.20.2","silvul","forb",2021-08-16,2021-06-21,"PS","1",221,367,NA,NA,NA,NA,NA,37,37,32,NA,NA,336,NA,NA,NA,71,NA,"1"
"CHE.lo.ambi.bare.wf.03.21.1","medlup","legume",2021-08-16,2021-06-16,"PS","1",75,30,NA,NA,NA,NA,NA,14,16,13,NA,NA,58,NA,NA,NA,5,NA,"0"
"CHE.lo.ambi.bare.wf.03.22.2","silvul","forb",2021-08-16,2021-06-24,"PS","1",110,NA,NA,NA,NA,NA,NA,50,34,45,NA,NA,300,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.23.3","scacol","forb",2021-08-16,2021-06-24,"PS","1",92,NA,NA,NA,NA,NA,NA,82,78,65,NA,NA,17,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.24.2","scacol","forb",2021-08-16,2021-06-21,"PS","1",61,NA,NA,NA,NA,NA,NA,56,51,54,NA,NA,18,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.25.1","cenjac","forb",2021-08-16,2021-06-16,"PS","1",164,112,NA,NA,NA,NA,NA,158,140,152,NA,NA,20,NA,NA,NA,1,NA,"0"
"CHE.lo.ambi.bare.wf.03.26.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",120,NA,NA,NA,NA,NA,NA,114,101,100,NA,NA,14,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.27.2","medlup","legume",2021-08-16,2021-06-24,"PS","1",130,135,NA,NA,NA,NA,NA,13,16,15,NA,NA,102,NA,NA,NA,36,NA,"0"
"CHE.lo.ambi.bare.wf.03.28.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",74,NA,NA,NA,NA,NA,NA,64,67,66,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.03.29.1","plamed","forb",2021-08-16,2021-06-16,"PS","1",78,34,NA,NA,NA,NA,NA,74,75,73,NA,NA,13,NA,NA,NA,1,10,"0"
"CHE.lo.ambi.bare.wf.03.30.1","cenjac","forb",2021-08-16,2021-06-16,"PS","1",114,NA,NA,NA,NA,NA,NA,111,95,110,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.02.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",156,NA,NA,NA,NA,NA,NA,152,156,152,NA,NA,23,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.04.2","broere","graminoid",2021-08-16,2021-06-22,"PS","1",219,NA,NA,NA,NA,NA,NA,201,152,126,NA,NA,57,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.05.2","hypper","forb",2021-08-16,2021-06-22,"PS","1",114,NA,NA,NA,NA,NA,NA,21,15,21,NA,NA,234,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.06.3","scacol","forb",2021-08-16,2021-06-24,"PS","1",106,NA,NA,NA,NA,NA,NA,104,95,181,NA,NA,21,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.07.2","broere","graminoid",2021-08-16,2021-06-22,"PS","1",192,NA,NA,NA,NA,NA,NA,176,100,165,NA,NA,3,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.08.2","brapin","graminoid",2021-08-16,2021-06-22,"PS","1",189,NA,NA,NA,NA,NA,NA,94,71,39,NA,NA,16,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.07.09.2","medlup","legume",2021-08-16,2021-06-22,"PS","1",64,37,NA,NA,NA,NA,NA,12,13,11,NA,NA,180,NA,NA,NA,5,NA,"0"
"CHE.lo.ambi.bare.wf.07.10.2","plamed","forb",2021-08-16,2021-06-22,"PS","1",65,NA,NA,NA,NA,NA,NA,75,75,69,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.11.1","silvul","forb",2021-08-16,2021-06-16,"PS","1",123,367,NA,NA,NA,NA,NA,36,34,30,NA,NA,252,NA,NA,NA,71,NA,"1"
"CHE.lo.ambi.bare.wf.07.12.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",235,NA,NA,NA,NA,NA,NA,177,175,209,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.07.13.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",176,NA,NA,NA,NA,NA,NA,148,156,156,NA,NA,14,NA,NA,NA,NA,NA,"0"
