"unique_plant_ID","species","date_collection","counter","inflorescence_size","no_seeds","seedweight"
"CHE.lo.ambi.bare.wf.08.05.2","hypper",2022-08-29,"LS",NA,64,8.05426356589147e-05
"CHE.lo.ambi.bare.wf.09.15.2","hypper",2022-08-29,"LS",NA,58,7.22608695652174e-05
"CHE.lo.ambi.bare.wf.06.15.2","hypper",2022-08-29,"LS",NA,103,8.94174757281553e-05
"CHE.lo.ambi.bare.wf.10.05.1","hypper",2022-08-29,"LS",NA,80,8.12422360248447e-05
"CHE.hi.ambi.bare.wf.10.05.1","hypper",2022-09-26,"LS",NA,34,8.82352941176471e-05
"CHE.hi.ambi.bare.wf.08.15.1","hypper",2022-10-05,"LS",NA,60,4.75e-05
"CHE.hi.ambi.bare.wf.09.15.1","hypper",2022-09-26,"LS",NA,5,6e-05
"CHE.hi.ambi.bare.wf.06.15.1","hypper",2022-09-26,"LS",NA,9,1.44444444444444e-05
"CHE.hi.ambi.bare.wf.08.18.1","hypper",2022-09-26,"LS",NA,63,7.06349206349206e-05
"CHE.hi.warm.bare.wf.05.18.1","hypper",2022-09-26,"LS",NA,9,1.33333333333333e-05
"CHE.hi.warm.bare.wf.04.05.1","hypper",2022-09-26,"LS",NA,61,0.000114262295081967
"CHE.hi.warm.bare.wf.01.15.1","hypper",2022-09-26,"LS",NA,50,1e-04
"CHE.hi.warm.bare.wf.03.15.1","hypper",2022-09-26,"LS",NA,14,9e-05
"CHE.hi.warm.bare.wf.02.05.1","hypper",2022-09-26,"LS",NA,35,0.000107428571428571
"CHE.hi.warm.vege.wf.08.15.1","hypper",2022-09-20,"LS",NA,76,8.11842105263158e-05
"CHE.hi.ambi.vege.wf.02.18.1","hypper",2022-09-20,"LS",NA,8,8.375e-05
"CHE.hi.warm.bare.wf.06.15.1","hypper",2022-10-05,"LS",NA,37,0.000178918918918919
"CHE.hi.warm.bare.wf.07.18.1","hypper",2022-09-26,"LS",NA,36,8.97222222222222e-05
"CHE.hi.warm.bare.wf.08.18.1","hypper",2022-09-26,"LS",NA,54,5.61111111111111e-05
"CHE.hi.warm.bare.wf.08.05.1","hypper",2022-09-26,"LS",NA,35,0.000123142857142857
"CHE.hi.warm.bare.wf.01.18.1","hypper",2022-09-26,"LS",NA,67,9.3134328358209e-05
"CHE.lo.ambi.vege.wf.10.05.1","hypper",2022-08-29,"LS",NA,54,9.89908256880734e-05
"CHE.lo.ambi.vege.wf.10.15.1","hypper",2022-08-29,"LS",NA,44,9e-05
"CHE.lo.ambi.vege.wf.05.15.1","hypper",2022-08-29,"LS",NA,78,9.23076923076923e-05
"CHE.lo.ambi.vege.wf.07.05.1","hypper",2022-08-29,"LS",NA,59,9.10169491525424e-05
"CHE.lo.ambi.vege.wf.02.15.1","hypper",2022-08-29,"LS",NA,10,5.8e-05
"CHE.hi.ambi.bare.wf.05.18.1","hypper",2022-10-05,"LS",NA,54,5.64814814814815e-05
"CHE.hi.ambi.bare.wf.04.18.2","hypper",2022-10-05,"LS",NA,59,6.7e-05
"CHE.hi.ambi.bare.wf.03.05.1","hypper",2022-10-05,"LS",NA,12,8.33333333333333e-05
"CHE.hi.ambi.bare.wf.01.18.1","hypper",2022-10-05,"LS",NA,36,3.94444444444444e-05
"CHE.hi.ambi.bare.wf.02.05.1","hypper",2022-10-05,"LS",NA,0,NA
"CHE.lo.ambi.bare.wf.09.23.3","scacol",2022-06-29,"LS",NA,130,0.000923153846153846
"CHE.lo.ambi.bare.wf.03.23.3","scacol",2022-06-29,"LS",NA,85,0.00215764705882353
"CHE.lo.ambi.bare.wf.04.23.2","scacol",2022-06-29,"LS",NA,63,0.00211587301587302
"CHE.lo.ambi.bare.wf.02.06.2","scacol",2022-06-29,"LS",NA,69,0.00244927536231884
"CHE.lo.ambi.bare.wf.02.23.2","scacol",2022-06-29,"LS",NA,66,0.00190454545454545
"CHE.hi.ambi.vege.wf.05.06.1","scacol",2022-08-29,"LS",NA,60,0.000585
"CHE.hi.ambi.vege.wf.01.24.1","scacol",2022-08-03,"LS",NA,24,0.00198333333333333
"CHE.hi.ambi.vege.wf.08.23.1","scacol",2022-09-06,"LS",NA,13,0.000685
"CHE.hi.warm.bare.wf.09.24.2","scacol",2022-07-20,"LS",NA,53,0.00293396226415094
"CHE.hi.ambi.bare.wf.10.23.1","scacol",2022-07-20,"LS",NA,74,0.00106216216216216
"CHE.hi.warm.bare.wf.05.06.1","scacol",2022-07-20,"LS",NA,80,0.00140777777777778
"CHE.hi.ambi.bare.wf.09.06.1","scacol",2022-07-20,"LS",NA,63,0.0022
"CHE.hi.warm.bare.wf.01.24.1","scacol",2022-07-20,"LS",NA,70,0.00188142857142857
"CHE.hi.ambi.bare.wf.08.24.1","scacol",2022-07-20,"LS",NA,100,0.000915
"CHE.hi.ambi.bare.wf.05.24.1","scacol",2022-07-20,"LS",NA,68,0.00181764705882353
"CHE.hi.ambi.bare.wf.05.24.1","scacol",2022-07-20,"LS",NA,50,0.00194626865671642
"CHE.hi.ambi.bare.wf.01.23.1","scacol",2022-07-20,"LS",NA,51,0.00205098039215686
"CHE.hi.warm.bare.wf.04.23.1","scacol",2022-07-20,"LS",NA,29,0.0016551724137931
"CHE.hi.ambi.bare.wf.06.06.1","scacol",2022-07-20,"LS",NA,73,0.000575342465753425
"CHE.hi.warm.bare.wf.06.06.1","scacol",2022-07-20,"LS",NA,75,0.00141066666666667
"CHE.hi.warm.bare.wf.07.24.1","scacol",2022-07-20,"LS",NA,61,0.00227846153846154
"CHE.hi.warm.bare.wf.09.23.1","scacol",2022-07-20,"LS",NA,66,0.00113787878787879
"CHE.hi.ambi.bare.wf.07.23.1","scacol",2022-07-20,"LS",NA,36,0.00327222222222222
"CHE.hi.warm.bare.wf.02.24.1","scacol",2022-07-20,"LS",NA,45,0.00268888888888889
"CHE.hi.ambi.bare.wf.02.23.1","scacol",2022-07-20,"LS",NA,60,0.00233
"CHE.hi.warm.bare.wf.04.24.1","scacol",2022-07-20,"LS",NA,61,0.0014983606557377
"CHE.hi.ambi.bare.wf.04.24.2","scacol",2022-07-20,"LS",NA,59,0.00226610169491525
"CHE.hi.warm.bare.wf.03.06.1","scacol",2022-07-20,"LS",NA,43,0.00205348837209302
"CHE.hi.warm.bare.wf.09.19.1","salpra",2022-07-06,"LS",122,35,0.00148228571428571
"CHE.hi.warm.bare.wf.03.28.1","salpra",2022-07-06,"LS",70,19,0.00156842105263158
"CHE.hi.warm.bare.wf.04.28.1","salpra",2022-07-08,"LS",118,92,0.00175228260869565
"CHE.hi.warm.bare.wf.02.19.1","salpra",2022-06-07,"LS",108,61,0.0012027868852459
"CHE.hi.warm.bare.wf.05.26.1","salpra",2022-07-08,"LS",120,60,0.0009775
"CHE.hi.warm.bare.wf.07.26.1","salpra",2022-07-08,"LS",118,41,0.00146487804878049
"CHE.lo.ambi.bare.wf.07.26.2","salpra",2022-06-23,"LS",285,111,0.000623783783783784
"CHE.lo.ambi.bare.wf.05.26.2","salpra",2022-06-23,"LS",178,132,0.00137575757575758
"CHE.lo.ambi.bare.wf.09.19.2","salpra",2022-06-23,"LS",165,26,0.000764615384615385
"CHE.lo.ambi.bare.wf.04.28.2","salpra",2022-06-23,"LS",107,47,0.00144
"CHE.lo.ambi.bare.wf.08.19.1","salpra",2024-06-23,"LS",183,110,0.000947818181818182
"CHE.hi.warm.bare.wf.02.26.1","salpra",2022-07-20,"LS",32,23,0.00192782608695652
"CHE.hi.ambi.bare.wf.01.28.1","salpra",2022-07-20,"LS",137,79,0.00137177215189873
"CHE.hi.warm.bare.wf.07.19.1","salpra",2022-07-20,"LS",82,21,0.00263809523809524
"CHE.hi.ambi.bare.wf.02.28.1","salpra",2022-07-20,"LS",170,25,0.0015108
"CHE.hi.ambi.bare.wf.01.19.1","salpra",2022-07-20,"LS",165,61,0.00205852459016393
"CHE.hi.ambi.bare.wf.04.28.2","salpra",2022-07-20,"LS",108,40,0.00221925
"CHE.hi.ambi.bare.wf.05.19.1","salpra",2022-07-20,"LS",165,62,0.00174290322580645
"CHE.hi.warm.bare.wf.04.19.1","salpra",2022-07-20,"LS",150,43,0.00246511627906977
"CHE.hi.ambi.bare.wf.08.19.1","salpra",2022-07-20,"LS",215,64,0.00141484375
"CHE.hi.warm.bare.wf.01.28.1","salpra",2022-07-20,"LS",98,23,0.00218260869565217
"CHE.hi.warm.bare.wf.06.25.1","cenjac",2022-07-27,"LS",NA,38,0.00169394736842105
"CHE.hi.ambi.bare.wf.05.30.1","cenjac",2022-07-27,"LS",NA,29,0.000800344827586207
"CHE.hi.ambi.bare.wf.04.14.2","cenjac",2022-07-27,"LS",NA,35,0.00136171428571429
"CHE.hi.warm.bare.wf.07.14.1","cenjac",2022-07-27,"LS",NA,20,0.0029535
"CHE.hi.ambi.bare.wf.09.14.1","cenjac",2022-07-27,"LS",NA,38,0.000879473684210526
"CHE.hi.warm.bare.wf.04.14.1","cenjac",2022-07-27,"LS",NA,26,0.00180038461538462
"CHE.hi.ambi.bare.wf.03.14.1","cenjac",2022-07-27,"LS",NA,38,0.00106763157894737
"CHE.hi.warm.bare.wf.08.25.1","cenjac",2022-07-27,"LS",NA,23,0.00251391304347826
"CHE.hi.ambi.bare.wf.06.25.1","cenjac",2022-07-27,"LS",NA,64,0.00047203125
"CHE.hi.warm.bare.wf.05.14.1","cenjac",2022-07-27,"LS",NA,48,0.00109270833333333
"CHE.hi.warm.bare.wf.09.25.1","cenjac",2022-07-27,"LS",NA,27,0.00150037037037037
"CHE.hi.ambi.bare.wf.08.30.2","cenjac",2022-07-27,"LS",NA,40,0.0009565
"CHE.hi.warm.bare.wf.03.14.1","cenjac",2022-07-27,"LS",NA,59,0.00223050847457627
"CHE.hi.ambi.bare.wf.01.14.1","cenjac",2022-07-27,"LS",NA,50,0.0008366
"CHE.hi.warm.bare.wf.01.25.1","cenjac",2022-07-27,"LS",NA,51,0.00111666666666667
"CHE.hi.warm.vege.wf.04.25.1","cenjac",2022-07-27,"LS",NA,45,0.00122222222222222
"CHE.hi.ambi.vege.wf.02.14.1","cenjac",2022-07-27,"LS",NA,13,0.00143461538461538
"CHE.hi.ambi.vege.wf.05.30.1","cenjac",2022-07-27,"LS",NA,34,0.000993823529411765
"CHE.hi.ambi.vege.wf.08.24.1","scacol",2022-07-27,"LS",NA,4,0.000573829787234043
"CHE.hi.ambi.vege.wf.03.14.1","cenjac",2022-08-29,"LS",NA,9,0.00191
"CHE.hi.ambi.bare.wf.10.25.1","cenjac",2022-07-27,"LS",NA,52,0.000541730769230769
"CHE.hi.ambi.bare.wf.07.14.1","cenjac",2022-07-27,"LS",NA,44,0.000628863636363636
"CHE.hi.warm.bare.wf.02.25.2","cenjac",2022-07-27,"LS",NA,45,0.000985555555555555
"CHE.lo.ambi.vege.wf.07.25.1","cenjac",2022-07-14,"LS",NA,7,0.00203142857142857
"CHE.lo.ambi.vege.wf.02.14.1","cenjac",2022-07-14,"LS",NA,35,0.00111371428571429
"CHE.lo.ambi.vege.wf.04.30.1","cenjac",2022-07-14,"LS",NA,25,0.0017296
"CHE.lo.ambi.vege.wf.01.25.1","cenjac",2022-07-14,"LS",NA,33,0.00262
"CHE.lo.ambi.vege.wf.08.14.1","cenjac",2022-07-14,"LS",NA,29,0.00115241379310345
"CHE.hi.ambi.bare.wf.02.30.2","cenjac",2022-07-27,"LS",NA,60,0.000498666666666667
"CHE.lo.ambi.bare.wf.10.30.2","cenjac",2022-07-07,"LS",NA,66,0.00201515151515152
"CHE.lo.ambi.bare.wf.01.14.2","cenjac",2022-07-07,"LS",NA,26,0.00153384615384615
"CHE.lo.ambi.bare.wf.03.25.1","cenjac",2022-07-07,"LS",NA,60,0.0005675
"CHE.lo.ambi.bare.wf.07.30.2","cenjac",2022-07-07,"LS",NA,66,0.000739090909090909
"CHE.lo.ambi.bare.wf.09.14.1","cenjac",2022-07-07,"LS",NA,69,0.000906521739130435
"CHE.lo.ambi.bare.wf.06.25.2","cenjac",2022-07-07,"LS",NA,60,0.000924666666666667
"CHE.lo.ambi.bare.wf.08.14.1","cenjac",2022-07-07,"LS",NA,64,0.00082234375
"CHE.lo.ambi.bare.wf.04.30.2","cenjac",2022-07-07,"LS",NA,95,0.000436631578947368
"CHE.lo.ambi.bare.wf.05.25.2","cenjac",2022-07-07,"LS",NA,75,0.0005912
"CHE.lo.ambi.bare.wf.02.30.2","cenjac",2022-07-07,"LS",NA,43,0.000883255813953488
"CHE.hi.warm.vege.wf.03.27.1","medlup",2022-07-06,"LS",NA,9,0.000962222222222222
"CHE.hi.ambi.vege.wf.03.27.1","medlup",2022-07-06,"LS",NA,10,0.000831
"CHE.hi.ambi.vege.wf.01.09.1","medlup",2022-07-06,"LS",NA,8,0.000481666666666667
"CHE.hi.warm.vege.wf.02.27.1","medlup",2022-07-06,"LS",NA,8,0.00112875
"CHE.hi.warm.vege.wf.01.27.1","medlup",2022-07-06,"LS",NA,4,0.00053
"CHE.hi.warm.vege.wf.09.27.1","medlup",2022-07-06,"LS",NA,11,0.00131130434782609
"CHE.hi.warm.vege.wf.09.21.1","medlup",2022-07-06,"LS",NA,6,0.00105166666666667
"CHE.hi.warm.vege.wf.10.09.1","medlup",2022-07-06,"LS",NA,12,0.00126217391304348
"CHE.hi.warm.vege.wf.10.27.1","medlup",2022-07-06,"LS",NA,15,0.00148666666666667
"CHE.hi.warm.vege.wf.03.09.1","medlup",2022-07-06,"LS",NA,12,0.00142434782608696
"CHE.hi.warm.vege.wf.05.21.1","medlup",2022-07-06,"LS",NA,7,0.00239857142857143
"CHE.hi.warm.vege.wf.01.09.1","medlup",2022-07-06,"LS",NA,6,0.00117666666666667
"CHE.hi.warm.bare.wf.01.09.1","medlup",2022-06-29,"LS",NA,11,0.00141409090909091
"CHE.hi.warm.bare.wf.05.21.1","medlup",2022-06-29,"LS",NA,9,0.00200555555555556
"CHE.hi.warm.bare.wf.02.27.1","medlup",2022-06-29,"LS",NA,18,0.000772
"CHE.hi.warm.bare.wf.05.27.1","medlup",2022-06-29,"LS",NA,14,0.00171888888888889
"CHE.hi.warm.bare.wf.09.09.1","medlup",2022-06-29,"LS",NA,7,0.00165071428571429
"CHE.hi.warm.bare.wf.09.27.1","medlup",2022-06-29,"LS",NA,10,0.00128631578947368
"CHE.hi.warm.bare.wf.10.27.1","medlup",2022-06-29,"LS",NA,11,0.000809090909090909
"CHE.hi.warm.bare.wf.08.21.1","medlup",2022-06-29,"LS",NA,10,0.0006605
"CHE.hi.warm.bare.wf.07.21.1","medlup",2022-06-29,"LS",NA,10,0.00107
"CHE.hi.warm.bare.wf.02.09.1","medlup",2022-06-29,"LS",NA,14,0.00122222222222222
"CHE.hi.ambi.bare.wf.10.09.1","medlup",2022-06-29,"LS",NA,15,0.000777333333333333
"CHE.hi.ambi.bare.wf.08.21.1","medlup",2022-06-29,"LS",NA,10,0.000823888888888889
"CHE.hi.ambi.bare.wf.09.09.1","medlup",2022-06-29,"LS",NA,6,0.000586153846153846
"CHE.hi.ambi.bare.wf.02.09.1","medlup",2022-06-29,"LS",NA,13,0.0008604
"CHE.hi.ambi.bare.wf.06.21.1","medlup",2022-06-29,"LS",NA,6,0.000559166666666667
"CHE.hi.ambi.bare.wf.08.27.1","medlup",2022-06-29,"LS",NA,20,0.000580526315789474
"CHE.hi.ambi.bare.wf.05.21.1","medlup",2022-06-29,"LS",NA,8,0.000888125
"CHE.hi.ambi.bare.wf.04.09.2","medlup",2022-06-29,"LS",NA,16,0.00076969696969697
"CHE.hi.warm.bare.wf.03.09.1","medlup",2022-06-29,"LS",NA,10,0.000764545454545455
"CHE.hi.ambi.bare.wf.01.21.1","medlup",2022-06-29,"LS",NA,20,0.000494
"CHE.lo.ambi.vege.wf.03.13.1","daucar",2022-08-17,"LS",60,216,8.77777777777778e-05
"CHE.lo.ambi.vege.wf.03.02.1","daucar",2022-08-17,"LS",55,576,1.74131944444444e-05
"CHE.lo.ambi.vege.wf.05.13.1","daucar",2022-08-17,"LS",55,159,0.00016496855345912
"CHE.lo.ambi.vege.wf.04.02.1","daucar",2022-08-17,"LS",55,317,9.45425867507886e-05
"CHE.lo.ambi.vege.wf.02.02.1","daucar",2022-08-17,"LS",70,490,5.99591836734694e-05
"CHE.lo.ambi.vege.wf.10.12.1","daucar",2022-08-17,"LS",40,128,4.0625e-05
"CHE.lo.ambi.bare.wf.04.04.2","broere",2022-07-19,"LS",95,49,0.00664285714285714
"CHE.lo.ambi.bare.wf.01.03.2","broere",2022-07-19,"LS",95,49,0.00502040816326531
"CHE.lo.ambi.bare.wf.07.04.2","broere",2022-07-19,"LS",98,16,0.00615
"CHE.lo.ambi.bare.wf.06.07.2","broere",2022-07-19,"LS",101,19,0.00761578947368421
"CHE.lo.ambi.bare.wf.06.04.2","broere",2022-07-19,"LS",100,22,0.00472272727272727
"CHE.lo.ambi.bare.wf.02.07.3","broere",2022-07-20,"LS",87,19,0.00791052631578947
"CHE.lo.ambi.bare.wf.08.07.2","broere",2022-07-20,"LS",74,44,0.00607727272727273
"CHE.lo.ambi.bare.wf.02.04.2","broere",2022-07-20,"LS",105,48,0.00598333333333333
"CHE.lo.ambi.bare.wf.05.04.2","broere",2022-07-20,"LS",102,10,0.01274
"CHE.lo.ambi.bare.wf.08.04.3","broere",2022-07-20,"LS",88,29,0.00742758620689655
"CHE.hi.ambi.vege.wf.06.04.2","broere",2022-07-26,"LS",69,1,0.00128
"CHE.hi.ambi.vege.wf.01.07.1","broere",2022-07-20,"LS",67,3,0.00133
"CHE.hi.warm.vege.wf.01.04.2","broere",2022-07-26,"LS",65,1,0.0043
"CHE.hi.ambi.bare.wf.10.04.1","broere",2022-07-26,"LS",NA,9,0.00297777777777778
"CHE.hi.ambi.bare.wf.02.03.1","broere",2022-07-26,"LS",106,42,0.0027952380952381
"CHE.hi.ambi.bare.wf.05.07.1","broere",2022-07-26,"LS",94,14,0.00357857142857143
"CHE.hi.ambi.bare.wf.10.03.1","broere",2022-07-26,"LS",100,5,0.00298333333333333
"CHE.hi.ambi.bare.wf.05.04.1","broere",2022-07-26,"LS",76,20,0.002665
"CHE.hi.ambi.bare.wf.03.07.1","broere",2022-07-26,"LS",83,8,0.0020375
"CHE.hi.ambi.bare.wf.02.07.1","broere",2022-07-26,"LS",88,14,0.00258571428571429
